pid:page:w0 w1 w2 w3 w4 w5 w6 w7
55:122:0 0 0 0 0 0 0 27493 
55:203:0 19369 0 0 0 0 0 0 
50:126:0 35942 0 0 0 0 0 0 
43:170:0 0 529 0 0 0 0 0 
60:154:0 0 0 0 0 64388 0 0 
60:23:0 0 0 0 0 0 0 0 
51:47:0 0 0 0 0 0 698 0 
51:180:0 26 0 0 0 0 0 0 
51:70:0 0 0 0 26 0 0 0 
60:54:0 0 0 0 0 0 0 0 
25:80:0 0 0 0 0 0 0 0 
51:158:243 0 0 0 0 0 0 0 
51:139:0 0 0 0 0 0 0 0 
51:137:0 0 0 0 0 0 0 0 
50:74:0 352 0 0 0 0 0 0 
25:176:0 0 0 0 0 0 0 0 
60:165:0 0 0 0 0 0 0 0 
51:3:0 0 0 0 0 0 0 0 
25:145:0 0 0 0 0 0 0 0 
51:214:0 0 0 0 0 0 0 0 
60:161:0 64388 0 0 0 0 0 0 
60:236:0 0 0 955 0 0 0 0 
71:216:0 0 0 0 0 175 0 0 
73:236:0 0 0 0 0 0 0 90 
71:231:0 0 0 0 0 0 0 0 
58:78:0 0 0 0 0 0 0 0 
51:88:0 0 0 0 0 0 0 0 
51:98:0 0 0 0 0 0 0 23166 
73:63:0 0 0 140 0 0 0 0 
73:30:0 0 0 0 0 0 0 0 
73:117:0 0 0 0 0 0 8807 0 
73:112:0 0 0 0 22992 0 0 0 
73:145:0 0 0 0 0 0 0 0 
71:135:0 0 0 0 0 0 0 0 
71:0:0 0 0 0 0 0 0 0 
93:5:0 0 0 0 0 0 0 0 
73:20:0 0 0 140 0 0 0 0 
71:173:0 0 0 0 0 0 0 0 
93:11:0 0 0 0 0 950 0 0 
71:108:0 0 0 0 0 0 0 0 
71:59:0 0 0 0 0 0 0 0 
77:162:0 0 0 0 65436 0 0 0 
77:159:0 0 0 0 0 0 0 0 
73:215:0 0 0 0 0 0 0 0 
77:87:0 0 0 0 0 0 0 0 
83:81:0 0 0 0 0 0 0 0 
58:89:0 0 0 0 0 0 0 0 
93:242:0 0 0 0 0 0 0 0 
83:187:0 0 0 0 0 0 5524 0 
