pid:page:w0 w1 w2 w3 w4 w5 w6 w7
81:235:0 396 0 0 0 0 0 0 
7:200:0 0 0 0 0 0 0 0 
91:20:0 0 0 0 0 0 0 0 
91:205:0 0 0 54730 0 0 0 0 
7:218:0 0 0 0 0 0 0 0 
91:44:0 0 0 0 417 0 0 0 
46:118:0 0 0 0 0 62 0 0 
91:78:0 0 0 0 0 0 0 0 
91:245:0 0 0 0 0 0 0 33 
81:165:0 0 0 0 0 0 0 0 
91:171:0 0 0 0 0 0 0 0 
7:203:0 0 0 0 0 0 0 0 
91:56:0 0 0 0 0 0 0 0 
91:16:0 0 0 0 0 0 0 0 
46:237:0 0 0 0 0 293 0 0 
91:49:0 0 5990 0 0 0 0 0 
91:213:0 417 0 0 0 0 0 0 
46:89:0 0 0 0 0 0 0 0 
7:217:0 0 0 0 0 0 0 0 
81:87:0 0 0 0 0 0 0 0 
91:52:19912 0 0 0 0 0 0 0 
46:59:0 0 0 0 0 600 0 0 
46:161:0 0 0 0 0 0 0 0 
81:64:0 0 0 0 0 0 0 0 
46:136:0 0 0 0 0 0 0 0 
46:104:0 0 0 0 189 0 0 0 
46:14:0 0 0 0 0 0 70 0 
